SO_Number,SO_Date,Customer_Code,Customer_Name,City,State,Material_Code,Material_Description,HSN_Code,Quantity,Unit_Price_INR,Discount_Pct,Net_Taxable_Value,GST_Type,GST_Rate_Pct,GST_Amount,Total_Invoice_Value,Payment_Terms,Sales_Rep,Order_Status,Delivery_Date,Payment_Due_Date,Payment_Received,Outstanding_INR
SO-10014,15-08-2024,CUST-1006,Bansal Retail Hub,Jaipur,Rajasthan,MAT-TV-4301,Smart LED TV 43 Inch FHD,85287300,80,28000,7,2083200.0,IGST,18,374976.0,2458176.0,Z045,Rohit Sharma,Processing,18-08-2024,29-10-2024,0,2458176.0
SO-10015,13-12-2024,CUST-1003,Sundar Tech Solutions,Chennai,Tamil Nadu,MAT-HP-2001,Wireless Headphones Noise Cancel,85183000,32,4500,5,136800.0,IGST,18,24624.0,161424.0,Z045,Priya Nair,Completed,21-12-2024,26-02-2025,161424.0,0.0
SO-10016,02-01-2025,CUST-1009,Das Brothers Trading Co.,Kolkata,West Bengal,MAT-TV-5501,Smart LED TV 55 Inch 4K UHD,85287300,158,45000,5,6754500.0,IGST,18,1215810.0,7970310.0,Z015,Rohit Sharma,Completed,06-01-2025,16-02-2025,7970310.0,0.0
SO-10017,05-09-2024,CUST-1004,Kapoor Distributors,Delhi,Delhi,MAT-TV-5501,Smart LED TV 55 Inch 4K UHD,85287300,66,45000,10,2673000.0,IGST,18,481140.0,3154140.0,Z030,Sneha Patel,Completed,19-09-2024,04-11-2024,3154140.0,0.0
SO-10018,06-05-2024,CUST-1009,Das Brothers Trading Co.,Kolkata,West Bengal,MAT-AC-1501,Split AC 1.5 Ton 5-Star Inverter,84151010,37,38000,7,1307580.0,IGST,18,235364.4,1542944.4,Z045,Sneha Patel,Delivered,18-05-2024,20-07-2024,1178557.86,364386.54
SO-10019,18-07-2024,CUST-1009,Das Brothers Trading Co.,Kolkata,West Bengal,MAT-RF-3001,Double Door Refrigerator 300L,84181000,187,32000,5,5684800.0,IGST,18,1023264.0,6708064.0,Z015,Sneha Patel,Billed,29-07-2024,01-09-2024,4823433.7,1884630.3
SO-10020,01-06-2024,CUST-1004,Kapoor Distributors,Delhi,Delhi,MAT-RF-3001,Double Door Refrigerator 300L,84181000,21,32000,5,638400.0,IGST,18,114912.0,753312.0,Z030,Vikram Das,Cancelled,07-06-2024,31-07-2024,0,753312.0
SO-10021,22-07-2024,CUST-1001,Sharma Electronics Pvt. Ltd.,Pune,Maharashtra,MAT-TV-4301,Smart LED TV 43 Inch FHD,85287300,186,28000,0,5208000.0,CGST+SGST,18,937440.0,6145440.0,Z045,Rohit Sharma,Completed,25-07-2024,05-10-2024,6145440.0,0.0
SO-10022,07-05-2024,CUST-1009,Das Brothers Trading Co.,Kolkata,West Bengal,MAT-RF-3001,Double Door Refrigerator 300L,84181000,76,32000,7,2261760.0,IGST,18,407116.8,2668876.8,Z045,Vikram Das,Cancelled,12-05-2024,21-07-2024,0,2668876.8
SO-10023,21-01-2025,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-RF-3001,Double Door Refrigerator 300L,84181000,126,32000,7,3749760.0,IGST,18,674956.8,4424716.8,Z045,Sneha Patel,Completed,25-01-2025,06-04-2025,4424716.8,0.0
SO-10024,29-09-2024,CUST-1007,Nair Consumer Goods,Kochi,Kerala,MAT-LT-1501,Laptop 15.6 Inch Core i5 16GB,84713010,124,58000,0,7192000.0,IGST,18,1294560.0,8486560.0,Z030,Rohit Sharma,Completed,08-10-2024,28-11-2024,8486560.0,0.0
SO-10025,26-05-2024,CUST-1004,Kapoor Distributors,Delhi,Delhi,MAT-RF-3001,Double Door Refrigerator 300L,84181000,53,32000,10,1526400.0,IGST,18,274752.0,1801152.0,Z015,Priya Nair,Completed,04-06-2024,10-07-2024,1801152.0,0.0
SO-10026,21-08-2024,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-RF-3001,Double Door Refrigerator 300L,84181000,24,32000,7,714240.0,IGST,18,128563.2,842803.2,Z030,Vikram Das,Completed,03-09-2024,20-10-2024,842803.2,0.0
SO-10027,08-04-2024,CUST-1002,Mehta Traders,Ahmedabad,Gujarat,MAT-RF-3001,Double Door Refrigerator 300L,84181000,47,32000,7,1398720.0,IGST,18,251769.6,1650489.6,Z015,Sneha Patel,Processing,14-04-2024,23-05-2024,0,1650489.6
SO-10028,01-05-2024,CUST-1003,Sundar Tech Solutions,Chennai,Tamil Nadu,MAT-LT-1501,Laptop 15.6 Inch Core i5 16GB,84713010,5,58000,7,269700.0,IGST,18,48546.0,318246.0,Z060,Sneha Patel,Processing,08-05-2024,30-07-2024,0,318246.0
SO-10029,23-03-2025,CUST-1009,Das Brothers Trading Co.,Kolkata,West Bengal,MAT-TB-1001,Tablet 10 Inch 256GB WiFi,84713020,44,18500,3,789580.0,IGST,18,142124.4,931704.4,Z060,Vikram Das,Delivered,04-04-2025,21-06-2025,917127.59,14576.81
SO-10030,02-05-2024,CUST-1006,Bansal Retail Hub,Jaipur,Rajasthan,MAT-TV-5501,Smart LED TV 55 Inch 4K UHD,85287300,17,45000,10,688500.0,IGST,18,123930.0,812430.0,Z015,Priya Nair,Cancelled,13-05-2024,16-06-2024,0,812430.0
SO-10031,30-04-2024,CUST-1009,Das Brothers Trading Co.,Kolkata,West Bengal,MAT-TV-4301,Smart LED TV 43 Inch FHD,85287300,52,28000,0,1456000.0,IGST,18,262080.0,1718080.0,Z030,Priya Nair,Delivered,12-05-2024,29-06-2024,1205899.35,512180.65
SO-10032,22-01-2025,CUST-1010,Iyer Superstore,Bengaluru,Karnataka,MAT-TV-5501,Smart LED TV 55 Inch 4K UHD,85287300,163,45000,0,7335000.0,IGST,18,1320300.0,8655300.0,Z015,Rohit Sharma,Cancelled,30-01-2025,08-03-2025,0,8655300.0
SO-10033,14-07-2024,CUST-1006,Bansal Retail Hub,Jaipur,Rajasthan,MAT-RF-3001,Double Door Refrigerator 300L,84181000,72,32000,7,2142720.0,IGST,18,385689.6,2528409.6,Z045,Arjun Verma,Delivered,29-07-2024,27-09-2024,1842230.3,686179.3
SO-10034,05-04-2024,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-CC-0501,DSLR Camera Kit 24MP,90065910,149,52000,0,7748000.0,IGST,18,1394640.0,9142640.0,Z030,Vikram Das,Cancelled,11-04-2024,04-06-2024,0,9142640.0
SO-10035,14-08-2024,CUST-1003,Sundar Tech Solutions,Chennai,Tamil Nadu,MAT-MO-6401,Smartphone 64MP 128GB,85171200,22,22000,3,469480.0,IGST,18,84506.4,553986.4,Z060,Rohit Sharma,Delivered,25-08-2024,12-11-2024,320688.0,233298.4
SO-10036,08-02-2025,CUST-1009,Das Brothers Trading Co.,Kolkata,West Bengal,MAT-TV-5501,Smart LED TV 55 Inch 4K UHD,85287300,175,45000,10,7087500.0,IGST,18,1275750.0,8363250.0,Z060,Rohit Sharma,Completed,13-02-2025,09-05-2025,8363250.0,0.0
SO-10037,30-05-2024,CUST-1002,Mehta Traders,Ahmedabad,Gujarat,MAT-HP-2001,Wireless Headphones Noise Cancel,85183000,44,4500,5,188100.0,IGST,18,33858.0,221958.0,Z060,Rohit Sharma,Delivered,05-06-2024,28-08-2024,190618.88,31339.12
SO-10038,15-12-2024,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-WM-0801,Front Load Washing Machine 8KG,84501100,18,29500,0,531000.0,IGST,18,95580.0,626580.0,Z015,Priya Nair,Delivered,23-12-2024,29-01-2025,327101.94,299478.06
SO-10039,21-02-2025,CUST-1005,Reddy Electronics,Hyderabad,Telangana,MAT-AC-1501,Split AC 1.5 Ton 5-Star Inverter,84151010,194,38000,7,6855960.0,IGST,18,1234072.8,8090032.8,Z015,Arjun Verma,Cancelled,24-02-2025,07-04-2025,0,8090032.8
SO-10040,09-05-2024,CUST-1003,Sundar Tech Solutions,Chennai,Tamil Nadu,MAT-HP-2001,Wireless Headphones Noise Cancel,85183000,14,4500,5,59850.0,IGST,18,10773.0,70623.0,Z045,Rohit Sharma,In Transit,16-05-2024,23-07-2024,39811.79,30811.21
SO-10041,21-04-2024,CUST-1006,Bansal Retail Hub,Jaipur,Rajasthan,MAT-RF-3001,Double Door Refrigerator 300L,84181000,179,32000,3,5556160.0,IGST,18,1000108.8,6556268.8,Z030,Vikram Das,Billed,30-04-2024,20-06-2024,5835460.29,720808.51
SO-10042,19-06-2024,CUST-1004,Kapoor Distributors,Delhi,Delhi,MAT-AC-1501,Split AC 1.5 Ton 5-Star Inverter,84151010,50,38000,7,1767000.0,IGST,18,318060.0,2085060.0,Z030,Rohit Sharma,Completed,03-07-2024,18-08-2024,2085060.0,0.0
SO-10043,28-10-2024,CUST-1004,Kapoor Distributors,Delhi,Delhi,MAT-WM-0801,Front Load Washing Machine 8KG,84501100,45,29500,0,1327500.0,IGST,18,238950.0,1566450.0,Z015,Priya Nair,Completed,07-11-2024,12-12-2024,1566450.0,0.0
SO-10044,12-07-2024,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-MO-6401,Smartphone 64MP 128GB,85171200,83,22000,3,1771220.0,IGST,18,318819.6,2090039.6,Z045,Priya Nair,Completed,25-07-2024,25-09-2024,2090039.6,0.0
SO-10045,22-10-2024,CUST-1006,Bansal Retail Hub,Jaipur,Rajasthan,MAT-WM-0801,Front Load Washing Machine 8KG,84501100,22,29500,5,616550.0,IGST,18,110979.0,727529.0,Z060,Vikram Das,Cancelled,31-10-2024,20-01-2025,0,727529.0
SO-10046,17-09-2024,CUST-1001,Sharma Electronics Pvt. Ltd.,Pune,Maharashtra,MAT-TV-4301,Smart LED TV 43 Inch FHD,85287300,71,28000,3,1928360.0,CGST+SGST,18,347104.8,2275464.8,Z060,Vikram Das,Completed,21-09-2024,16-12-2024,2275464.8,0.0
SO-10047,09-11-2024,CUST-1006,Bansal Retail Hub,Jaipur,Rajasthan,MAT-MO-6401,Smartphone 64MP 128GB,85171200,116,22000,10,2296800.0,IGST,18,413424.0,2710224.0,Z030,Rohit Sharma,In Transit,15-11-2024,08-01-2025,2574041.66,136182.34
SO-10048,23-04-2024,CUST-1007,Nair Consumer Goods,Kochi,Kerala,MAT-TV-5501,Smart LED TV 55 Inch 4K UHD,85287300,138,45000,10,5589000.0,IGST,18,1006020.0,6595020.0,Z045,Rohit Sharma,Billed,06-05-2024,07-07-2024,4719717.49,1875302.51
SO-10049,14-02-2025,CUST-1006,Bansal Retail Hub,Jaipur,Rajasthan,MAT-TV-4301,Smart LED TV 43 Inch FHD,85287300,189,28000,5,5027400.0,IGST,18,904932.0,5932332.0,Z060,Rohit Sharma,In Transit,28-02-2025,15-05-2025,3933678.64,1998653.36
SO-10050,09-01-2025,CUST-1003,Sundar Tech Solutions,Chennai,Tamil Nadu,MAT-RF-3001,Double Door Refrigerator 300L,84181000,112,32000,7,3333120.0,IGST,18,599961.6,3933081.6,Z045,Rohit Sharma,Delivered,12-01-2025,25-03-2025,2765104.19,1167977.41
SO-10051,25-08-2024,CUST-1004,Kapoor Distributors,Delhi,Delhi,MAT-LT-1501,Laptop 15.6 Inch Core i5 16GB,84713010,153,58000,10,7986600.0,IGST,18,1437588.0,9424188.0,Z060,Sneha Patel,Processing,04-09-2024,23-11-2024,0,9424188.0
SO-10052,12-03-2025,CUST-1004,Kapoor Distributors,Delhi,Delhi,MAT-HP-2001,Wireless Headphones Noise Cancel,85183000,126,4500,3,549990.0,IGST,18,98998.2,648988.2,Z030,Vikram Das,Delivered,25-03-2025,11-05-2025,491755.24,157232.96
SO-10053,19-09-2024,CUST-1002,Mehta Traders,Ahmedabad,Gujarat,MAT-RF-3001,Double Door Refrigerator 300L,84181000,177,32000,5,5380800.0,IGST,18,968544.0,6349344.0,Z045,Priya Nair,Delivered,22-09-2024,03-12-2024,3642472.5,2706871.5
SO-10054,30-11-2024,CUST-1010,Iyer Superstore,Bengaluru,Karnataka,MAT-TV-4301,Smart LED TV 43 Inch FHD,85287300,121,28000,7,3150840.0,IGST,18,567151.2,3717991.2,Z045,Priya Nair,In Transit,06-12-2024,13-02-2025,2778040.58,939950.62
SO-10055,02-03-2025,CUST-1001,Sharma Electronics Pvt. Ltd.,Pune,Maharashtra,MAT-TV-4301,Smart LED TV 43 Inch FHD,85287300,113,28000,3,3069080.0,CGST+SGST,18,552434.4,3621514.4,Z045,Arjun Verma,Cancelled,12-03-2025,16-05-2025,0,3621514.4
SO-10056,11-01-2025,CUST-1004,Kapoor Distributors,Delhi,Delhi,MAT-TV-4301,Smart LED TV 43 Inch FHD,85287300,121,28000,3,3286360.0,IGST,18,591544.8,3877904.8,Z015,Vikram Das,Cancelled,22-01-2025,25-02-2025,0,3877904.8
SO-10057,10-09-2024,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-CC-0501,DSLR Camera Kit 24MP,90065910,189,52000,10,8845200.0,IGST,18,1592136.0,10437336.0,Z015,Priya Nair,Cancelled,20-09-2024,25-10-2024,0,10437336.0
SO-10058,30-11-2024,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-WM-0801,Front Load Washing Machine 8KG,84501100,197,29500,3,5637155.0,IGST,18,1014687.9,6651842.9,Z060,Priya Nair,Cancelled,10-12-2024,28-02-2025,0,6651842.9
SO-10059,19-08-2024,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-TV-4301,Smart LED TV 43 Inch FHD,85287300,187,28000,5,4974200.0,IGST,18,895356.0,5869556.0,Z045,Arjun Verma,Delivered,30-08-2024,02-11-2024,3920415.96,1949140.04
SO-10060,10-06-2024,CUST-1003,Sundar Tech Solutions,Chennai,Tamil Nadu,MAT-RF-3001,Double Door Refrigerator 300L,84181000,103,32000,3,3197120.0,IGST,18,575481.6,3772601.6,Z045,Sneha Patel,Completed,19-06-2024,24-08-2024,3772601.6,0.0
SO-10061,17-09-2024,CUST-1009,Das Brothers Trading Co.,Kolkata,West Bengal,MAT-TB-1001,Tablet 10 Inch 256GB WiFi,84713020,111,18500,0,2053500.0,IGST,18,369630.0,2423130.0,Z045,Vikram Das,In Transit,02-10-2024,01-12-2024,1683441.47,739688.53
SO-10062,23-03-2025,CUST-1001,Sharma Electronics Pvt. Ltd.,Pune,Maharashtra,MAT-CC-0501,DSLR Camera Kit 24MP,90065910,102,52000,7,4932720.0,CGST+SGST,18,887889.6,5820609.6,Z030,Sneha Patel,Billed,01-04-2025,22-05-2025,3779358.64,2041250.96
SO-10063,01-01-2025,CUST-1009,Das Brothers Trading Co.,Kolkata,West Bengal,MAT-CC-0501,DSLR Camera Kit 24MP,90065910,61,52000,7,2949960.0,IGST,18,530992.8,3480952.8,Z045,Sneha Patel,Delivered,04-01-2025,17-03-2025,2499038.63,981914.17
SO-10064,20-09-2024,CUST-1007,Nair Consumer Goods,Kochi,Kerala,MAT-AC-1501,Split AC 1.5 Ton 5-Star Inverter,84151010,124,38000,3,4570640.0,IGST,18,822715.2,5393355.2,Z030,Arjun Verma,In Transit,03-10-2024,19-11-2024,4292821.59,1100533.61
SO-10065,13-05-2024,CUST-1007,Nair Consumer Goods,Kochi,Kerala,MAT-AC-1501,Split AC 1.5 Ton 5-Star Inverter,84151010,123,38000,3,4533780.0,IGST,18,816080.4,5349860.4,Z030,Sneha Patel,Delivered,19-05-2024,12-07-2024,3689006.58,1660853.82
SO-10066,15-09-2024,CUST-1006,Bansal Retail Hub,Jaipur,Rajasthan,MAT-LT-1501,Laptop 15.6 Inch Core i5 16GB,84713010,76,58000,7,4099440.0,IGST,18,737899.2,4837339.2,Z060,Arjun Verma,Completed,25-09-2024,14-12-2024,4837339.2,0.0
SO-10067,02-01-2025,CUST-1001,Sharma Electronics Pvt. Ltd.,Pune,Maharashtra,MAT-MO-6401,Smartphone 64MP 128GB,85171200,62,22000,0,1364000.0,CGST+SGST,18,245520.0,1609520.0,Z030,Priya Nair,Completed,08-01-2025,03-03-2025,1609520.0,0.0
SO-10068,11-04-2024,CUST-1010,Iyer Superstore,Bengaluru,Karnataka,MAT-AC-1501,Split AC 1.5 Ton 5-Star Inverter,84151010,66,38000,3,2432760.0,IGST,18,437896.8,2870656.8,Z015,Priya Nair,Completed,23-04-2024,26-05-2024,2870656.8,0.0
SO-10069,25-11-2024,CUST-1005,Reddy Electronics,Hyderabad,Telangana,MAT-MO-6401,Smartphone 64MP 128GB,85171200,47,22000,10,930600.0,IGST,18,167508.0,1098108.0,Z030,Arjun Verma,Completed,02-12-2024,24-01-2025,1098108.0,0.0
SO-10070,22-01-2025,CUST-1001,Sharma Electronics Pvt. Ltd.,Pune,Maharashtra,MAT-WM-0801,Front Load Washing Machine 8KG,84501100,152,29500,7,4170120.0,CGST+SGST,18,750621.6,4920741.6,Z015,Priya Nair,Delivered,05-02-2025,08-03-2025,2647350.31,2273391.29
SO-10071,23-05-2024,CUST-1005,Reddy Electronics,Hyderabad,Telangana,MAT-CC-0501,DSLR Camera Kit 24MP,90065910,35,52000,10,1638000.0,IGST,18,294840.0,1932840.0,Z030,Rohit Sharma,Billed,05-06-2024,22-07-2024,1481275.66,451564.34
SO-10072,06-05-2024,CUST-1009,Das Brothers Trading Co.,Kolkata,West Bengal,MAT-MO-6401,Smartphone 64MP 128GB,85171200,8,22000,7,163680.0,IGST,18,29462.4,193142.4,Z015,Rohit Sharma,Completed,15-05-2024,20-06-2024,193142.4,0.0
SO-10073,20-02-2025,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-AC-1501,Split AC 1.5 Ton 5-Star Inverter,84151010,116,38000,3,4275760.0,IGST,18,769636.8,5045396.8,Z060,Sneha Patel,Cancelled,07-03-2025,21-05-2025,0,5045396.8
SO-10074,25-11-2024,CUST-1007,Nair Consumer Goods,Kochi,Kerala,MAT-CC-0501,DSLR Camera Kit 24MP,90065910,73,52000,5,3606200.0,IGST,18,649116.0,4255316.0,Z045,Sneha Patel,Completed,02-12-2024,08-02-2025,4255316.0,0.0
SO-10075,03-08-2024,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-CC-0501,DSLR Camera Kit 24MP,90065910,161,52000,7,7785960.0,IGST,18,1401472.8,9187432.8,Z060,Rohit Sharma,Completed,13-08-2024,01-11-2024,9187432.8,0.0
SO-10076,03-07-2024,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-RF-3001,Double Door Refrigerator 300L,84181000,95,32000,5,2888000.0,IGST,18,519840.0,3407840.0,Z060,Rohit Sharma,Delivered,17-07-2024,01-10-2024,3203914.82,203925.18
SO-10077,10-01-2025,CUST-1001,Sharma Electronics Pvt. Ltd.,Pune,Maharashtra,MAT-HP-2001,Wireless Headphones Noise Cancel,85183000,53,4500,0,238500.0,CGST+SGST,18,42930.0,281430.0,Z045,Priya Nair,In Transit,25-01-2025,26-03-2025,209465.23,71964.77
SO-10078,20-03-2025,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-TB-1001,Tablet 10 Inch 256GB WiFi,84713020,119,18500,0,2201500.0,IGST,18,396270.0,2597770.0,Z030,Priya Nair,Delivered,03-04-2025,19-05-2025,1586713.24,1011056.76
SO-10079,04-09-2024,CUST-1010,Iyer Superstore,Bengaluru,Karnataka,MAT-MO-6401,Smartphone 64MP 128GB,85171200,126,22000,10,2494800.0,IGST,18,449064.0,2943864.0,Z060,Rohit Sharma,In Transit,15-09-2024,03-12-2024,2938905.74,4958.26
SO-10080,28-09-2024,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-WM-0801,Front Load Washing Machine 8KG,84501100,83,29500,5,2326075.0,IGST,18,418693.5,2744768.5,Z045,Priya Nair,Completed,12-10-2024,12-12-2024,2744768.5,0.0
SO-10081,09-09-2024,CUST-1002,Mehta Traders,Ahmedabad,Gujarat,MAT-HP-2001,Wireless Headphones Noise Cancel,85183000,200,4500,3,873000.0,IGST,18,157140.0,1030140.0,Z045,Vikram Das,Delivered,16-09-2024,23-11-2024,895503.1,134636.9
SO-10082,25-12-2024,CUST-1010,Iyer Superstore,Bengaluru,Karnataka,MAT-WM-0801,Front Load Washing Machine 8KG,84501100,30,29500,3,858450.0,IGST,18,154521.0,1012971.0,Z060,Arjun Verma,Delivered,01-01-2025,25-03-2025,689266.53,323704.47
SO-10083,29-03-2025,CUST-1009,Das Brothers Trading Co.,Kolkata,West Bengal,MAT-AC-1501,Split AC 1.5 Ton 5-Star Inverter,84151010,75,38000,0,2850000.0,IGST,18,513000.0,3363000.0,Z030,Priya Nair,Cancelled,05-04-2025,28-05-2025,0,3363000.0
SO-10084,21-02-2025,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-TV-4301,Smart LED TV 43 Inch FHD,85287300,8,28000,10,201600.0,IGST,18,36288.0,237888.0,Z060,Sneha Patel,Processing,03-03-2025,22-05-2025,0,237888.0
SO-10085,22-09-2024,CUST-1003,Sundar Tech Solutions,Chennai,Tamil Nadu,MAT-TV-5501,Smart LED TV 55 Inch 4K UHD,85287300,69,45000,7,2887650.0,IGST,18,519777.0,3407427.0,Z030,Sneha Patel,Completed,01-10-2024,21-11-2024,3407427.0,0.0
SO-10086,08-05-2024,CUST-1010,Iyer Superstore,Bengaluru,Karnataka,MAT-TV-5501,Smart LED TV 55 Inch 4K UHD,85287300,43,45000,3,1876950.0,IGST,18,337851.0,2214801.0,Z060,Arjun Verma,Completed,14-05-2024,06-08-2024,2214801.0,0.0
SO-10087,11-01-2025,CUST-1007,Nair Consumer Goods,Kochi,Kerala,MAT-CC-0501,DSLR Camera Kit 24MP,90065910,157,52000,10,7347600.0,IGST,18,1322568.0,8670168.0,Z045,Sneha Patel,Cancelled,20-01-2025,27-03-2025,0,8670168.0
SO-10088,13-11-2024,CUST-1005,Reddy Electronics,Hyderabad,Telangana,MAT-CC-0501,DSLR Camera Kit 24MP,90065910,114,52000,5,5631600.0,IGST,18,1013688.0,6645288.0,Z030,Priya Nair,Completed,28-11-2024,12-01-2025,6645288.0,0.0
SO-10089,15-02-2025,CUST-1004,Kapoor Distributors,Delhi,Delhi,MAT-WM-0801,Front Load Washing Machine 8KG,84501100,174,29500,0,5133000.0,IGST,18,923940.0,6056940.0,Z045,Priya Nair,Delivered,19-02-2025,01-05-2025,3554859.12,2502080.88
SO-10090,02-04-2024,CUST-1007,Nair Consumer Goods,Kochi,Kerala,MAT-TB-1001,Tablet 10 Inch 256GB WiFi,84713020,181,18500,10,3013650.0,IGST,18,542457.0,3556107.0,Z015,Rohit Sharma,Delivered,09-04-2024,17-05-2024,1836088.91,1720018.09
SO-10091,26-03-2025,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-TV-4301,Smart LED TV 43 Inch FHD,85287300,180,28000,3,4888800.0,IGST,18,879984.0,5768784.0,Z060,Priya Nair,Delivered,06-04-2025,24-06-2025,4110659.43,1658124.57
SO-10092,26-02-2025,CUST-1003,Sundar Tech Solutions,Chennai,Tamil Nadu,MAT-WM-0801,Front Load Washing Machine 8KG,84501100,41,29500,0,1209500.0,IGST,18,217710.0,1427210.0,Z030,Rohit Sharma,Completed,13-03-2025,27-04-2025,1427210.0,0.0
SO-10093,30-01-2025,CUST-1010,Iyer Superstore,Bengaluru,Karnataka,MAT-WM-0801,Front Load Washing Machine 8KG,84501100,117,29500,0,3451500.0,IGST,18,621270.0,4072770.0,Z015,Vikram Das,Delivered,06-02-2025,16-03-2025,3461312.18,611457.82
